Datetime,temperature(°C),temperature(°F),humidity(%),pressure(hPa)
00:06:31 15/01/2024, 16.63, 61.93, 60.76, 986.21
00:06:41 15/01/2024, 16.65, 61.96, 60.74, 986.21
00:06:51 15/01/2024, 16.64, 61.95, 60.74, 986.26
00:07:01 15/01/2024, 16.64, 61.95, 60.76, 986.23
00:07:11 15/01/2024, 16.63, 61.94, 60.76, 986.22
00:07:21 15/01/2024, 16.63, 61.93, 60.75, 986.24
00:07:31 15/01/2024, 16.64, 61.95, 60.75, 986.28
00:07:41 15/01/2024, 16.62, 61.92, 60.78, 986.20
00:07:51 15/01/2024, 16.62, 61.92, 60.77, 986.18
00:08:01 15/01/2024, 16.62, 61.92, 60.76, 986.20
00:08:11 15/01/2024, 16.62, 61.92, 60.78, 986.22
00:08:21 15/01/2024, 16.62, 61.92, 60.75, 986.20
00:08:31 15/01/2024, 16.62, 61.92, 60.77, 986.23
00:08:41 15/01/2024, 16.62, 61.92, 60.78, 986.25
00:08:51 15/01/2024, 16.62, 61.92, 60.79, 986.18
00:09:01 15/01/2024, 16.62, 61.92, 60.77, 986.23
00:09:11 15/01/2024, 16.62, 61.92, 60.77, 986.25
00:09:21 15/01/2024, 16.61, 61.91, 60.79, 986.27
00:09:31 15/01/2024, 16.61, 61.91, 60.76, 986.22
00:09:41 15/01/2024, 16.62, 61.92, 60.76, 986.17
00:09:51 15/01/2024, 16.61, 61.91, 60.73, 986.22
00:10:01 15/01/2024, 16.62, 61.92, 60.72, 986.18
00:10:11 15/01/2024, 16.62, 61.92, 60.74, 986.26
00:10:21 15/01/2024, 16.62, 61.92, 60.73, 986.23
00:10:32 15/01/2024, 16.62, 61.92, 60.73, 986.18
00:10:42 15/01/2024, 16.63, 61.93, 60.70, 986.21
00:10:52 15/01/2024, 16.61, 61.91, 60.70, 986.13
00:11:02 15/01/2024, 16.62, 61.92, 60.71, 986.11
00:11:12 15/01/2024, 16.61, 61.91, 60.73, 986.16
00:11:22 15/01/2024, 16.61, 61.91, 60.74, 986.16
00:11:32 15/01/2024, 16.62, 61.92, 60.73, 986.15
00:11:42 15/01/2024, 16.61, 61.91, 60.73, 986.19
00:11:52 15/01/2024, 16.60, 61.89, 60.74, 986.14
00:12:02 15/01/2024, 16.61, 61.90, 60.72, 986.12
00:12:12 15/01/2024, 16.60, 61.89, 60.77, 986.14
00:12:22 15/01/2024, 16.61, 61.90, 60.76, 986.18
00:12:32 15/01/2024, 16.61, 61.90, 60.74, 986.01
00:12:42 15/01/2024, 16.61, 61.91, 60.76, 986.05
00:12:52 15/01/2024, 16.60, 61.89, 60.73, 986.09
00:13:02 15/01/2024, 16.60, 61.89, 60.72, 986.09
00:13:12 15/01/2024, 16.59, 61.87, 60.78, 986.07
00:13:22 15/01/2024, 16.60, 61.89, 60.70, 986.03
00:13:32 15/01/2024, 16.60, 61.89, 60.72, 986.09
00:13:42 15/01/2024, 16.59, 61.86, 60.71, 986.01
00:13:52 15/01/2024, 16.59, 61.86, 60.75, 986.01
00:14:02 15/01/2024, 16.59, 61.87, 60.78, 986.07
00:14:12 15/01/2024, 16.59, 61.87, 60.75, 986.02
00:14:22 15/01/2024, 16.59, 61.86, 60.76, 986.01
00:14:32 15/01/2024, 16.58, 61.84, 60.70, 985.99
00:14:42 15/01/2024, 16.59, 61.87, 60.72, 986.13
00:14:52 15/01/2024, 16.59, 61.86, 60.71, 985.95
00:15:02 15/01/2024, 16.59, 61.87, 60.73, 986.10
00:15:12 15/01/2024, 16.59, 61.86, 60.74, 985.98
00:15:22 15/01/2024, 16.59, 61.86, 60.71, 986.06
00:15:32 15/01/2024, 16.59, 61.87, 60.72, 986.16
00:15:42 15/01/2024, 16.58, 61.85, 60.71, 986.06
00:15:53 15/01/2024, 16.59, 61.87, 60.70, 986.05
00:16:03 15/01/2024, 16.60, 61.88, 60.65, 986.08
00:16:13 15/01/2024, 16.59, 61.86, 60.69, 986.09
00:16:23 15/01/2024, 16.59, 61.86, 60.70, 986.01
00:16:33 15/01/2024, 16.58, 61.84, 60.70, 986.05
00:16:43 15/01/2024, 16.58, 61.84, 60.72, 986.05
00:16:53 15/01/2024, 16.58, 61.84, 60.74, 985.99
00:17:03 15/01/2024, 16.58, 61.85, 60.65, 986.11
00:17:13 15/01/2024, 16.57, 61.83, 60.70, 986.07
00:17:23 15/01/2024, 16.57, 61.83, 60.74, 986.04
00:17:33 15/01/2024, 16.57, 61.82, 60.73, 986.06
00:17:43 15/01/2024, 16.57, 61.82, 60.75, 986.12
00:17:53 15/01/2024, 16.56, 61.81, 60.72, 986.05
00:18:03 15/01/2024, 16.57, 61.83, 60.73, 986.10
00:18:13 15/01/2024, 16.57, 61.82, 60.76, 986.09
00:18:23 15/01/2024, 16.57, 61.82, 60.75, 986.12
00:18:33 15/01/2024, 16.57, 61.82, 60.74, 986.03
00:18:43 15/01/2024, 16.56, 61.81, 60.73, 986.05
00:18:53 15/01/2024, 16.56, 61.81, 60.74, 986.02
00:19:03 15/01/2024, 16.55, 61.80, 60.72, 986.04
00:19:13 15/01/2024, 16.56, 61.81, 60.78, 986.07
00:19:23 15/01/2024, 16.56, 61.81, 60.75, 986.07
00:19:33 15/01/2024, 16.56, 61.81, 60.76, 986.13
00:19:43 15/01/2024, 16.56, 61.81, 60.76, 986.13
00:19:53 15/01/2024, 16.55, 61.79, 60.77, 986.11
00:20:03 15/01/2024, 16.55, 61.79, 60.77, 986.14
00:20:13 15/01/2024, 16.54, 61.78, 60.74, 986.10
00:20:23 15/01/2024, 16.55, 61.80, 60.71, 986.17
00:20:33 15/01/2024, 16.56, 61.81, 60.72, 986.02
00:20:43 15/01/2024, 16.55, 61.80, 60.73, 986.01
00:20:53 15/01/2024, 16.55, 61.80, 60.72, 986.12
00:21:03 15/01/2024, 16.55, 61.80, 60.72, 986.06
00:21:14 15/01/2024, 16.54, 61.78, 60.73, 986.10
00:21:24 15/01/2024, 16.54, 61.78, 60.75, 986.13
00:21:34 15/01/2024, 16.55, 61.79, 60.73, 986.11
00:21:44 15/01/2024, 16.54, 61.78, 60.70, 986.21
00:21:54 15/01/2024, 16.54, 61.78, 60.70, 986.16
00:22:04 15/01/2024, 16.55, 61.79, 60.70, 986.17
00:22:14 15/01/2024, 16.54, 61.77, 60.72, 986.09
00:22:24 15/01/2024, 16.55, 61.79, 60.69, 986.17
00:22:34 15/01/2024, 16.55, 61.79, 60.69, 986.14
00:22:44 15/01/2024, 16.56, 61.81, 60.68, 986.13
00:22:54 15/01/2024, 16.55, 61.80, 60.67, 986.15
00:23:04 15/01/2024, 16.55, 61.79, 60.66, 986.08
00:23:14 15/01/2024, 16.54, 61.78, 60.67, 986.02
00:23:24 15/01/2024, 16.54, 61.77, 60.69, 986.09
00:23:34 15/01/2024, 16.53, 61.76, 60.70, 986.03
00:23:44 15/01/2024, 16.53, 61.76, 60.70, 986.11
00:23:54 15/01/2024, 16.54, 61.77, 60.72, 986.12
00:24:04 15/01/2024, 16.54, 61.77, 60.72, 986.07
00:24:14 15/01/2024, 16.53, 61.76, 60.72, 986.22
00:24:24 15/01/2024, 16.53, 61.76, 60.70, 986.09
00:24:34 15/01/2024, 16.53, 61.75, 60.69, 986.13
00:24:44 15/01/2024, 16.53, 61.76, 60.65, 986.14
00:24:54 15/01/2024, 16.53, 61.76, 60.66, 986.20
00:25:04 15/01/2024, 16.52, 61.74, 60.66, 986.02
00:25:14 15/01/2024, 16.52, 61.74, 60.66, 986.07
00:25:24 15/01/2024, 16.53, 61.76, 60.64, 986.11
00:25:34 15/01/2024, 16.53, 61.76, 60.67, 986.14
00:25:44 15/01/2024, 16.53, 61.76, 60.69, 986.11
00:25:54 15/01/2024, 16.53, 61.76, 60.65, 986.09
00:26:04 15/01/2024, 16.53, 61.76, 60.67, 986.17
00:26:14 15/01/2024, 16.53, 61.76, 60.64, 986.20
00:26:24 15/01/2024, 16.53, 61.76, 60.67, 986.14
00:26:35 15/01/2024, 16.54, 61.77, 60.63, 986.12
00:26:45 15/01/2024, 16.53, 61.75, 60.62, 986.11
00:26:55 15/01/2024, 16.53, 61.75, 60.63, 986.08
00:27:05 15/01/2024, 16.53, 61.76, 60.62, 986.14
00:27:15 15/01/2024, 16.52, 61.74, 60.62, 986.18
00:27:25 15/01/2024, 16.53, 61.76, 60.59, 986.14
00:27:35 15/01/2024, 16.52, 61.74, 60.63, 986.24
00:27:45 15/01/2024, 16.51, 61.72, 60.63, 986.16
00:27:55 15/01/2024, 16.52, 61.73, 60.63, 986.06
00:28:05 15/01/2024, 16.51, 61.72, 60.64, 986.11
00:28:15 15/01/2024, 16.51, 61.72, 60.64, 986.33
00:28:25 15/01/2024, 16.51, 61.72, 60.63, 986.22
00:28:35 15/01/2024, 16.51, 61.71, 60.64, 986.16
00:28:45 15/01/2024, 16.50, 61.70, 60.65, 986.15
00:28:55 15/01/2024, 16.51, 61.72, 60.60, 986.16
00:29:05 15/01/2024, 16.51, 61.71, 60.63, 986.21
00:29:15 15/01/2024, 16.51, 61.72, 60.59, 986.11
00:29:25 15/01/2024, 16.50, 61.70, 60.64, 986.18
00:29:35 15/01/2024, 16.50, 61.70, 60.63, 986.15
00:29:45 15/01/2024, 16.50, 61.70, 60.63, 986.12
00:29:55 15/01/2024, 16.51, 61.71, 60.60, 986.16
00:30:05 15/01/2024, 16.50, 61.70, 60.61, 986.15
00:30:15 15/01/2024, 16.51, 61.71, 60.60, 986.10
00:30:25 15/01/2024, 16.50, 61.70, 60.60, 986.20
00:30:35 15/01/2024, 16.50, 61.70, 60.60, 986.09
00:30:45 15/01/2024, 16.51, 61.71, 60.58, 986.24
00:30:55 15/01/2024, 16.50, 61.70, 60.58, 986.09
00:31:05 15/01/2024, 16.51, 61.71, 60.55, 986.10
00:31:15 15/01/2024, 16.50, 61.70, 60.58, 985.98
00:31:25 15/01/2024, 16.49, 61.69, 60.59, 986.05
00:31:35 15/01/2024, 16.49, 61.69, 60.59, 986.13
00:31:45 15/01/2024, 16.49, 61.68, 60.57, 986.15
00:31:56 15/01/2024, 16.49, 61.69, 60.58, 986.13
00:32:06 15/01/2024, 16.48, 61.67, 60.60, 986.12
00:32:16 15/01/2024, 16.47, 61.65, 60.62, 986.02
00:32:26 15/01/2024, 16.48, 61.67, 60.60, 986.14
00:32:36 15/01/2024, 16.48, 61.67, 60.58, 986.03
00:32:46 15/01/2024, 16.49, 61.69, 60.59, 986.05
00:32:56 15/01/2024, 16.48, 61.67, 60.61, 986.09
00:33:06 15/01/2024, 16.48, 61.66, 60.63, 986.14
00:33:16 15/01/2024, 16.47, 61.65, 60.62, 986.15
00:33:26 15/01/2024, 16.47, 61.65, 60.60, 986.10
00:33:36 15/01/2024, 16.48, 61.67, 60.59, 986.01
00:33:46 15/01/2024, 16.48, 61.66, 60.60, 986.16
00:33:56 15/01/2024, 16.29, 61.32, 60.58, 985.87
00:34:06 15/01/2024, 16.47, 61.65, 60.58, 986.15
00:34:16 15/01/2024, 16.48, 61.67, 60.55, 986.14
00:34:26 15/01/2024, 16.48, 61.67, 60.56, 986.14
00:34:36 15/01/2024, 16.48, 61.67, 60.55, 986.12
00:34:46 15/01/2024, 16.49, 61.68, 60.55, 986.18
00:34:56 15/01/2024, 16.47, 61.65, 60.55, 986.18
00:35:06 15/01/2024, 16.48, 61.66, 60.56, 986.19
00:35:16 15/01/2024, 16.48, 61.66, 60.53, 986.22
00:35:26 15/01/2024, 16.48, 61.66, 60.53, 986.22
00:35:36 15/01/2024, 16.47, 61.65, 60.54, 986.21
00:35:46 15/01/2024, 16.47, 61.64, 60.55, 986.17
00:35:56 15/01/2024, 16.46, 61.63, 60.54, 986.17
00:36:06 15/01/2024, 16.46, 61.63, 60.54, 986.11
00:36:16 15/01/2024, 16.47, 61.65, 60.54, 986.13
00:36:26 15/01/2024, 16.47, 61.65, 60.53, 986.21
00:36:36 15/01/2024, 16.46, 61.63, 60.55, 986.17
00:36:46 15/01/2024, 16.47, 61.64, 60.55, 986.26
00:36:56 15/01/2024, 16.47, 61.64, 60.53, 986.20
00:37:06 15/01/2024, 16.47, 61.64, 60.55, 986.20
00:37:16 15/01/2024, 16.46, 61.63, 60.55, 986.22
00:37:27 15/01/2024, 16.46, 61.63, 60.55, 986.22
00:37:37 15/01/2024, 16.46, 61.62, 60.54, 986.19
00:37:47 15/01/2024, 16.45, 61.61, 60.53, 986.18
00:37:57 15/01/2024, 16.45, 61.61, 60.54, 986.12
00:38:07 15/01/2024, 16.45, 61.60, 60.55, 986.14
00:38:17 15/01/2024, 16.45, 61.60, 60.53, 986.14
00:38:27 15/01/2024, 16.45, 61.61, 60.53, 986.23
00:38:37 15/01/2024, 16.45, 61.61, 60.51, 986.10
00:38:47 15/01/2024, 16.46, 61.62, 60.50, 986.13
00:38:57 15/01/2024, 16.46, 61.62, 60.51, 986.16
00:39:07 15/01/2024, 16.46, 61.62, 60.53, 986.21
00:39:17 15/01/2024, 16.45, 61.60, 60.53, 986.11
00:39:27 15/01/2024, 16.45, 61.60, 60.53, 986.11
00:39:37 15/01/2024, 16.43, 61.58, 60.52, 986.06
00:39:47 15/01/2024, 16.44, 61.59, 60.51, 986.10
00:39:57 15/01/2024, 16.44, 61.59, 60.51, 986.02
00:40:07 15/01/2024, 16.45, 61.61, 60.48, 986.15
00:40:17 15/01/2024, 16.46, 61.63, 60.48, 986.14
00:40:27 15/01/2024, 16.46, 61.63, 60.48, 986.06
00:40:37 15/01/2024, 16.45, 61.61, 60.48, 986.10
00:40:47 15/01/2024, 16.45, 61.61, 60.50, 986.10
00:40:57 15/01/2024, 16.44, 61.59, 60.52, 986.13
00:41:07 15/01/2024, 16.43, 61.58, 60.52, 986.04
00:41:17 15/01/2024, 16.44, 61.59, 60.51, 986.10
00:41:27 15/01/2024, 16.44, 61.59, 60.51, 986.13
00:41:37 15/01/2024, 16.43, 61.58, 60.51, 986.17
00:41:47 15/01/2024, 16.43, 61.57, 60.49, 986.05
00:41:57 15/01/2024, 16.43, 61.58, 60.49, 986.12
00:42:07 15/01/2024, 16.43, 61.57, 60.49, 986.08
00:42:17 15/01/2024, 16.43, 61.57, 60.51, 986.16
00:42:27 15/01/2024, 16.42, 61.56, 60.50, 986.07
00:42:38 15/01/2024, 16.43, 61.57, 60.51, 986.08
00:42:48 15/01/2024, 16.42, 61.56, 60.51, 986.07
00:42:58 15/01/2024, 16.43, 61.58, 60.51, 986.12
00:43:08 15/01/2024, 16.42, 61.56, 60.50, 986.07
00:43:18 15/01/2024, 16.42, 61.56, 60.48, 986.10
00:43:28 15/01/2024, 16.43, 61.58, 60.49, 986.09
00:43:38 15/01/2024, 16.43, 61.57, 60.51, 986.11
00:43:48 15/01/2024, 16.42, 61.56, 60.49, 986.02
00:43:58 15/01/2024, 16.42, 61.56, 60.47, 986.13
00:44:08 15/01/2024, 16.42, 61.55, 60.50, 986.07
00:44:18 15/01/2024, 16.42, 61.56, 60.48, 986.05
00:44:28 15/01/2024, 16.42, 61.56, 60.47, 986.07
00:44:38 15/01/2024, 16.42, 61.55, 60.49, 986.12
00:44:48 15/01/2024, 16.41, 61.54, 60.49, 986.00
00:44:58 15/01/2024, 16.42, 61.56, 60.47, 986.07
00:45:08 15/01/2024, 16.41, 61.54, 60.45, 986.03
00:45:18 15/01/2024, 16.41, 61.53, 60.45, 986.05
00:45:28 15/01/2024, 16.41, 61.53, 60.46, 986.00
00:45:38 15/01/2024, 16.42, 61.55, 60.46, 986.07
00:45:48 15/01/2024, 16.42, 61.55, 60.48, 986.04
00:45:58 15/01/2024, 16.42, 61.55, 60.47, 986.04
00:46:08 15/01/2024, 16.41, 61.54, 60.44, 986.03
00:46:18 15/01/2024, 16.42, 61.56, 60.43, 986.10
00:46:28 15/01/2024, 16.42, 61.56, 60.43, 986.02
00:46:38 15/01/2024, 16.42, 61.56, 60.42, 986.02
00:46:48 15/01/2024, 16.42, 61.55, 60.41, 986.04
00:46:58 15/01/2024, 16.42, 61.56, 60.42, 986.10
00:47:08 15/01/2024, 16.42, 61.56, 60.41, 986.02
00:47:18 15/01/2024, 16.41, 61.54, 60.41, 986.00
00:47:28 15/01/2024, 16.43, 61.57, 60.39, 986.03
00:47:38 15/01/2024, 16.43, 61.58, 60.40, 986.04
00:47:48 15/01/2024, 16.42, 61.56, 60.39, 986.02
00:47:59 15/01/2024, 16.43, 61.58, 60.39, 986.06
00:48:09 15/01/2024, 16.41, 61.54, 60.42, 986.00
00:48:19 15/01/2024, 16.41, 61.54, 60.43, 986.00
00:48:29 15/01/2024, 16.41, 61.53, 60.43, 986.05
00:48:39 15/01/2024, 16.41, 61.53, 60.44, 986.00
00:48:49 15/01/2024, 16.41, 61.54, 60.42, 986.06
00:48:59 15/01/2024, 16.41, 61.54, 60.44, 985.95
00:49:09 15/01/2024, 16.41, 61.54, 60.43, 986.06
00:49:19 15/01/2024, 16.41, 61.54, 60.43, 986.00
00:49:29 15/01/2024, 16.41, 61.54, 60.43, 986.00
00:49:39 15/01/2024, 16.40, 61.52, 60.43, 986.04
00:49:49 15/01/2024, 16.41, 61.53, 60.44, 986.08
00:49:59 15/01/2024, 16.41, 61.53, 60.45, 986.00
00:50:09 15/01/2024, 16.40, 61.52, 60.45, 985.99
00:50:19 15/01/2024, 16.39, 61.50, 60.46, 986.03
00:50:29 15/01/2024, 16.40, 61.52, 60.45, 986.01
00:50:39 15/01/2024, 16.39, 61.50, 60.44, 986.05
00:50:49 15/01/2024, 16.39, 61.50, 60.44, 986.03
00:50:59 15/01/2024, 16.39, 61.49, 60.43, 985.94
00:51:09 15/01/2024, 16.40, 61.51, 60.44, 986.01
00:51:19 15/01/2024, 16.40, 61.52, 60.44, 986.01
00:51:29 15/01/2024, 16.39, 61.50, 60.44, 986.00
00:51:39 15/01/2024, 16.40, 61.52, 60.43, 986.04
00:51:49 15/01/2024, 16.39, 61.49, 60.43, 985.96
00:51:59 15/01/2024, 16.38, 61.48, 60.43, 986.01
00:52:09 15/01/2024, 16.39, 61.50, 60.43, 985.97
00:52:19 15/01/2024, 16.39, 61.49, 60.42, 986.02
00:52:29 15/01/2024, 16.39, 61.49, 60.43, 985.96
00:52:39 15/01/2024, 16.39, 61.49, 60.43, 985.96
00:52:49 15/01/2024, 16.38, 61.48, 60.45, 986.06
00:52:59 15/01/2024, 16.38, 61.48, 60.45, 986.04
00:53:10 15/01/2024, 16.39, 61.49, 60.46, 986.02
00:53:20 15/01/2024, 16.39, 61.49, 60.45, 986.02
00:53:30 15/01/2024, 16.38, 61.48, 60.46, 985.98
00:53:40 15/01/2024, 16.38, 61.48, 60.45, 985.98
00:53:50 15/01/2024, 16.38, 61.48, 60.45, 986.01
00:54:00 15/01/2024, 16.39, 61.49, 60.44, 986.10
00:54:10 15/01/2024, 16.38, 61.48, 60.41, 985.97
00:54:20 15/01/2024, 16.38, 61.48, 60.43, 985.93
00:54:30 15/01/2024, 16.38, 61.48, 60.45, 986.01
00:54:40 15/01/2024, 16.38, 61.48, 60.45, 986.01
00:54:50 15/01/2024, 16.39, 61.49, 60.44, 986.02
00:55:00 15/01/2024, 16.38, 61.48, 60.44, 985.95
00:55:10 15/01/2024, 16.39, 61.50, 60.41, 986.03
00:55:20 15/01/2024, 16.39, 61.49, 60.40, 986.02
00:55:30 15/01/2024, 16.39, 61.50, 60.41, 985.97
00:55:40 15/01/2024, 16.39, 61.49, 60.41, 985.96
00:55:50 15/01/2024, 16.39, 61.49, 60.40, 985.85
00:56:00 15/01/2024, 16.39, 61.50, 60.40, 985.97
00:56:10 15/01/2024, 16.39, 61.49, 60.39, 985.96
00:56:20 15/01/2024, 16.38, 61.48, 60.39, 985.95
00:56:30 15/01/2024, 16.37, 61.47, 60.39, 985.88
00:56:40 15/01/2024, 16.38, 61.48, 60.36, 985.93
00:56:50 15/01/2024, 16.38, 61.48, 60.35, 985.95
00:57:00 15/01/2024, 16.38, 61.48, 60.36, 985.95
00:57:10 15/01/2024, 16.38, 61.48, 60.36, 985.87
00:57:20 15/01/2024, 16.38, 61.48, 60.35, 985.90
00:57:30 15/01/2024, 16.39, 61.50, 60.37, 985.92
00:57:40 15/01/2024, 16.38, 61.48, 60.37, 985.87
00:57:50 15/01/2024, 16.37, 61.47, 60.39, 985.83
00:58:00 15/01/2024, 16.38, 61.48, 60.38, 985.86
00:58:10 15/01/2024, 16.37, 61.47, 60.39, 985.88
00:58:20 15/01/2024, 16.37, 61.47, 60.40, 985.86
00:58:31 15/01/2024, 16.37, 61.47, 60.40, 985.86
00:58:41 15/01/2024, 16.37, 61.46, 60.38, 985.85
00:58:51 15/01/2024, 16.37, 61.46, 60.39, 985.88
00:59:01 15/01/2024, 16.37, 61.47, 60.38, 985.86
00:59:11 15/01/2024, 16.36, 61.44, 60.40, 985.89
00:59:21 15/01/2024, 16.35, 61.43, 60.42, 985.85
00:59:31 15/01/2024, 16.35, 61.43, 60.40, 985.80
00:59:41 15/01/2024, 16.36, 61.45, 60.40, 985.81
00:59:51 15/01/2024, 16.36, 61.44, 60.41, 985.75
01:00:01 15/01/2024, 16.36, 61.44, 60.41, 985.78
01:00:11 15/01/2024, 16.34, 61.41, 60.39, 985.75
01:00:21 15/01/2024, 16.36, 61.45, 60.39, 985.81
01:00:31 15/01/2024, 16.36, 61.44, 60.40, 985.89
01:00:41 15/01/2024, 16.35, 61.43, 60.37, 985.69
01:00:51 15/01/2024, 16.35, 61.43, 60.38, 985.74
01:01:01 15/01/2024, 16.36, 61.45, 60.39, 985.81
01:01:11 15/01/2024, 16.36, 61.45, 60.38, 985.76
01:01:21 15/01/2024, 16.36, 61.45, 60.37, 985.84
01:01:31 15/01/2024, 16.36, 61.44, 60.38, 985.78
01:01:41 15/01/2024, 16.35, 61.43, 60.39, 985.88
01:01:51 15/01/2024, 16.34, 61.42, 60.41, 985.73
01:02:01 15/01/2024, 16.36, 61.44, 60.39, 985.83
01:02:11 15/01/2024, 16.35, 61.43, 60.41, 985.85
01:02:21 15/01/2024, 16.34, 61.41, 60.42, 985.78
01:02:31 15/01/2024, 16.34, 61.42, 60.42, 985.82
01:02:41 15/01/2024, 16.34, 61.42, 60.40, 985.82
01:02:51 15/01/2024, 16.33, 61.39, 60.42, 985.82
01:03:01 15/01/2024, 16.33, 61.40, 60.42, 985.80
01:03:11 15/01/2024, 16.34, 61.41, 60.41, 985.73
01:03:21 15/01/2024, 16.33, 61.39, 60.40, 985.79
01:03:31 15/01/2024, 16.35, 61.43, 60.39, 985.80
01:03:42 15/01/2024, 16.33, 61.40, 60.41, 985.75
01:03:52 15/01/2024, 16.34, 61.42, 60.39, 985.82
01:04:02 15/01/2024, 16.33, 61.39, 60.41, 985.71
01:04:12 15/01/2024, 16.33, 61.39, 60.40, 985.82
01:04:22 15/01/2024, 16.33, 61.39, 60.40, 985.79
01:04:32 15/01/2024, 16.33, 61.39, 60.40, 985.82
01:04:42 15/01/2024, 16.32, 61.38, 60.39, 985.72
01:04:52 15/01/2024, 16.32, 61.38, 60.40, 985.78
01:05:02 15/01/2024, 16.33, 61.39, 60.41, 985.71
01:05:12 15/01/2024, 16.32, 61.38, 60.39, 985.78
01:05:22 15/01/2024, 16.33, 61.39, 60.39, 985.74
01:05:32 15/01/2024, 16.33, 61.39, 60.37, 985.76
01:05:42 15/01/2024, 16.32, 61.38, 60.36, 985.76
01:05:52 15/01/2024, 16.32, 61.38, 60.38, 985.69
01:06:02 15/01/2024, 16.33, 61.39, 60.35, 985.71
01:06:12 15/01/2024, 16.33, 61.39, 60.38, 985.76
01:06:22 15/01/2024, 16.32, 61.38, 60.38, 985.80
01:06:32 15/01/2024, 16.33, 61.39, 60.37, 985.79
01:06:42 15/01/2024, 16.32, 61.38, 60.37, 985.76
01:06:52 15/01/2024, 16.34, 61.42, 60.33, 985.76
01:07:02 15/01/2024, 16.34, 61.41, 60.33, 985.75
01:07:12 15/01/2024, 16.33, 61.39, 60.35, 985.71
01:07:22 15/01/2024, 16.33, 61.39, 60.35, 985.65
01:07:32 15/01/2024, 16.32, 61.38, 60.33, 985.67
01:07:42 15/01/2024, 16.33, 61.39, 60.33, 985.76
01:07:52 15/01/2024, 16.31, 61.36, 60.36, 985.68
01:08:02 15/01/2024, 16.31, 61.37, 60.37, 985.63
01:08:12 15/01/2024, 16.31, 61.37, 60.34, 985.69
01:08:22 15/01/2024, 16.31, 61.36, 60.38, 985.73
01:08:32 15/01/2024, 16.32, 61.38, 60.37, 985.72
01:08:42 15/01/2024, 16.31, 61.37, 60.38, 985.69
01:08:52 15/01/2024, 16.32, 61.38, 60.35, 985.64
01:09:03 15/01/2024, 16.32, 61.38, 60.34, 985.69
01:09:13 15/01/2024, 16.31, 61.36, 60.37, 985.65
01:09:23 15/01/2024, 16.32, 61.38, 60.35, 985.75
01:09:33 15/01/2024, 16.31, 61.36, 60.34, 985.70
01:09:43 15/01/2024, 16.32, 61.38, 60.32, 985.72
01:09:53 15/01/2024, 16.31, 61.37, 60.34, 985.63
01:10:03 15/01/2024, 16.32, 61.38, 60.33, 985.75
01:10:13 15/01/2024, 16.31, 61.37, 60.33, 985.74
01:10:23 15/01/2024, 16.32, 61.38, 60.30, 985.76
